name,url,team,team_url,year,league,statistic,value,stat_type,rank
Freddie Freeman,https://www.baseball-almanac.com/players/player.php?p=freemfr01,Los Angeles Dodgers,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=LAN,2022,National League,Runs,117,player,1
Brandon Nimmo,https://www.baseball-almanac.com/players/player.php?p=nimmobr01,New York Mets,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=NYN,2022,National League,Triples,7,player,1
Walker Buehler,https://www.baseball-almanac.com/players/player.php?p=buehlwa01,Los Angeles Dodgers,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=LAN,2022,National League,Shutouts,1,pitcher,1
Bryce Elder,https://www.baseball-almanac.com/players/player.php?p=elderbr01,Atlanta Braves,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=ATL,2022,National League,Shutouts,1,pitcher,1
Hunter Greene,https://www.baseball-almanac.com/players/player.php?p=greenhu01,Cincinnati Reds,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=CN5,2022,National League,Shutouts,1,pitcher,1
Chad Kuhl,https://www.baseball-almanac.com/players/player.php?p=kuhlch01,Colorado Rockies,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=COL,2022,National League,Shutouts,1,pitcher,1
Jordan Montgomery,https://www.baseball-almanac.com/players/player.php?p=montgjo01,St. Louis Cardinals,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=SLN,2022,National League,Shutouts,1,pitcher,1
Aaron Nola,https://www.baseball-almanac.com/players/player.php?p=nolaaa01,Philadelphia Phillies,https://www.baseball-almanac.com/teamstats/roster.php?y=2022&t=PHI,2022,National League,Shutouts,1,pitcher,1
