year,league,division,team,wins,losses,winning_percentage,games_back
2000,American League,East,Boston Red Sox,85,77,0.5246913580246914,"$77,940,333"
2000,American League,Central,Detroit Tigers,79,83,0.4876543209876543,"$58,265,167"
2000,American League,West,Texas Rangers,71,91,0.4382716049382716,"$70,795,921"
