year,league,division,team,wins,losses,winning_percentage,games_back
1988,American League,East,Boston Red Sox,89,73,0.5493827160493827,"$15,629,592"
1988,American League,East,Detroit Tigers,88,74,0.5432098765432098,"$15,597,071"
1988,American League,West,Texas Rangers,70,91,0.43478260869565216,"$7,105,500"
