year,league,division,team,wins,losses,winning_percentage,games_back
1906,National League,League,Cincinnati Reds,64,87,0.423841059602649,51½
1906,National League,League,Boston Beaneaters,49,102,0.32450331125827814,66½
1907,National League,League,Chicago Cubs,107,45,0.7039473684210527,.704
1907,National League,League,Pittsburgh Pirates,91,63,0.5909090909090909,.591
1907,National League,League,Cincinnati Reds,66,87,0.43137254901960786,41½
1907,National League,League,Boston Doves,58,90,0.3918918918918919,.392
1908,National League,League,Chicago Cubs,99,55,0.6428571428571429,.643
1908,National League,League,Pittsburgh Pirates,98,56,0.6363636363636364,.636
1908,National League,League,Cincinnati Reds,73,81,0.474025974025974,.474
1908,National League,League,Boston Doves,63,91,0.4090909090909091,.409
1909,National League,League,Pittsburgh Pirates,110,42,0.7236842105263158,.724
1909,National League,League,Chicago Cubs,104,49,0.6797385620915033,6½
1909,National League,League,Cincinnati Reds,77,76,0.5032679738562091,33½
1909,National League,League,Boston Doves,45,108,0.29411764705882354,65½
1910,National League,League,Chicago Cubs,104,50,0.6753246753246753,.675
1910,National League,League,Pittsburgh Pirates,86,67,0.5620915032679739,17½
1910,National League,League,Cincinnati Reds,75,79,0.487012987012987,.487
1910,National League,League,Boston Doves,53,100,0.3464052287581699,50½
1911,National League,League,Chicago Cubs,92,62,0.5974025974025974,7½
1911,National League,League,Pittsburgh Pirates,85,69,0.551948051948052,14½
1911,National League,League,Cincinnati Reds,70,83,0.45751633986928103,.458
1912,National League,League,Pittsburgh Pirates,93,58,0.6158940397350994,.616
1912,National League,League,Chicago Cubs,91,59,0.6066666666666667,11½
1912,National League,League,Cincinnati Reds,75,78,0.49019607843137253,.490
1912,National League,League,Boston Braves,52,101,0.33986928104575165,.340
1913,National League,League,Chicago Cubs,88,65,0.5751633986928104,13½
1913,National League,League,Pittsburgh Pirates,78,71,0.5234899328859061,21½
1913,National League,League,Boston Braves,69,82,0.45695364238410596,31½
1913,National League,League,Cincinnati Reds,64,89,0.41830065359477125,37½
1914,National League,League,Boston Braves,94,59,0.6143790849673203,.614
1914,National League,League,Chicago Cubs,78,76,0.5064935064935064,16½
1914,National League,League,Pittsburgh Pirates,69,85,0.44805194805194803,25½
1914,National League,League,Cincinnati Reds,60,94,0.38961038961038963,34½
1915,National League,League,Boston Braves,83,69,0.5460526315789473,.546
1915,National League,League,Chicago Cubs,73,80,0.477124183006536,17½
1915,National League,League,Pittsburgh Pirates,73,81,0.474025974025974,.474
1915,National League,League,Cincinnati Reds,71,83,0.461038961038961,.461
1916,National League,League,Boston Braves,89,63,0.5855263157894737,.586
1916,National League,League,Chicago Cubs,67,86,0.43790849673202614,26½
1916,National League,League,Pittsburgh Pirates,65,89,0.42207792207792205,.422
1916,National League,League,Cincinnati Reds,60,93,0.39215686274509803,33½
1917,National League,League,Cincinnati Reds,78,76,0.5064935064935064,.506
1917,National League,League,Chicago Cubs,74,80,0.4805194805194805,.481
1917,National League,League,Boston Braves,72,81,0.47058823529411764,25½
1917,National League,League,Pittsburgh Pirates,51,103,0.33116883116883117,.331
1918,National League,League,Chicago Cubs,84,45,0.6511627906976745,.651
1918,National League,League,Cincinnati Reds,68,60,0.53125,15½
1918,National League,League,Pittsburgh Pirates,65,60,0.52,.520
1918,National League,League,Boston Braves,53,71,0.4274193548387097,28½
1919,National League,League,Cincinnati Reds,96,44,0.6857142857142857,.686
1919,National League,League,Chicago Cubs,75,65,0.5357142857142857,.536
1919,National League,League,Pittsburgh Pirates,71,68,0.5107913669064749,24½
1919,National League,League,Boston Braves,57,82,0.41007194244604317,38½
1920,National League,League,Cincinnati Reds,82,71,0.5359477124183006,10½
1920,National League,League,Pittsburgh Pirates,79,75,0.512987012987013,.513
1920,National League,League,Chicago Cubs,75,79,0.487012987012987,.487
1920,National League,League,Boston Braves,62,90,0.40789473684210525,.408
1921,National League,League,Pittsburgh Pirates,90,63,0.5882352941176471,.588
1921,National League,League,Boston Braves,79,74,0.5163398692810458,.516
1921,National League,League,Cincinnati Reds,70,83,0.45751633986928103,.458
1921,National League,League,Chicago Cubs,64,89,0.41830065359477125,.418
1922,National League,League,Cincinnati Reds,86,68,0.5584415584415584,.558
1922,National League,League,Pittsburgh Pirates,85,69,0.551948051948052,.552
1922,National League,League,Chicago Cubs,80,74,0.5194805194805194,.519
1922,National League,League,Boston Braves,53,100,0.3464052287581699,39½
1923,National League,League,Cincinnati Reds,91,63,0.5909090909090909,4½
1923,National League,League,Pittsburgh Pirates,87,67,0.564935064935065,8½
1923,National League,League,Chicago Cubs,83,71,0.538961038961039,12½
1923,National League,League,Boston Braves,54,100,0.35064935064935066,41½
1924,National League,League,Pittsburgh Pirates,90,63,0.5882352941176471,.588
1924,National League,League,Cincinnati Reds,83,70,0.5424836601307189,.542
1924,National League,League,Chicago Cubs,81,72,0.5294117647058824,.529
1924,National League,League,Boston Braves,53,100,0.3464052287581699,.346
1925,National League,League,Pittsburgh Pirates,95,58,0.6209150326797386,.621
1925,National League,League,Cincinnati Reds,80,73,0.5228758169934641,.523
1925,National League,League,Boston Braves,70,83,0.45751633986928103,.458
1925,National League,League,Chicago Cubs,68,86,0.44155844155844154,27½
1926,National League,League,Cincinnati Reds,87,67,0.564935064935065,.565
1926,National League,League,Pittsburgh Pirates,84,69,0.5490196078431373,4½
1926,National League,League,Chicago Cubs,82,72,0.5324675324675324,.532
1926,National League,League,Boston Braves,66,86,0.4342105263157895,.434
1927,National League,League,Pittsburgh Pirates,94,60,0.6103896103896104,.610
1927,National League,League,Chicago Cubs,85,68,0.5555555555555556,8½
1927,National League,League,Cincinnati Reds,75,78,0.49019607843137253,18½
1927,National League,League,Boston Braves,60,94,0.38961038961038963,.390
1928,National League,League,Chicago Cubs,91,63,0.5909090909090909,.591
1928,National League,League,Pittsburgh Pirates,85,67,0.5592105263157895,.559
1928,National League,League,Cincinnati Reds,78,74,0.5131578947368421,.513
1928,National League,League,Boston Braves,50,103,0.32679738562091504,44½
1929,National League,League,Chicago Cubs,98,54,0.6447368421052632,.645
1929,National League,League,Pittsburgh Pirates,88,65,0.5751633986928104,10½
1929,National League,League,Cincinnati Reds,66,88,0.42857142857142855,.429
1929,National League,League,Boston Braves,56,98,0.36363636363636365,.364
1930,National League,League,Chicago Cubs,90,64,0.5844155844155844,.584
1930,National League,League,Pittsburgh Pirates,80,74,0.5194805194805194,.519
1930,National League,League,Boston Braves,70,84,0.45454545454545453,.455
1930,National League,League,Cincinnati Reds,59,95,0.38311688311688313,.383
1931,National League,League,Chicago Cubs,84,70,0.5454545454545454,.545
1931,National League,League,Pittsburgh Pirates,75,79,0.487012987012987,.487
1931,National League,League,Boston Braves,64,90,0.4155844155844156,.416
1931,National League,League,Cincinnati Reds,58,96,0.37662337662337664,.377
1932,National League,League,Chicago Cubs,90,64,0.5844155844155844,.584
1932,National League,League,Pittsburgh Pirates,86,68,0.5584415584415584,.558
1932,National League,League,Boston Braves,77,77,0.5,.500
1932,National League,League,Cincinnati Reds,60,94,0.38961038961038963,.390
1933,National League,League,Pittsburgh Pirates,87,67,0.564935064935065,.565
1933,National League,League,Chicago Cubs,86,68,0.5584415584415584,.558
1933,National League,League,Boston Braves,83,71,0.538961038961039,.539
1933,National League,League,Cincinnati Reds,58,94,0.3815789473684211,.382
1934,National League,League,Chicago Cubs,86,65,0.5695364238410596,.570
1934,National League,League,Boston Braves,78,73,0.5165562913907285,.517
1934,National League,League,Pittsburgh Pirates,74,76,0.49333333333333335,19½
1934,National League,League,Cincinnati Reds,52,99,0.3443708609271523,.344
1935,National League,League,Chicago Cubs,100,54,0.6493506493506493,.649
1935,National League,League,Pittsburgh Pirates,86,67,0.5620915032679739,13½
1935,National League,League,Cincinnati Reds,68,85,0.4444444444444444,31½
1935,National League,League,Boston Braves,38,115,0.24836601307189543,61½
1936,National League,League,Chicago Cubs,87,67,0.564935064935065,.565
1936,National League,League,Pittsburgh Pirates,84,70,0.5454545454545454,.545
1936,National League,League,Cincinnati Reds,74,80,0.4805194805194805,.481
1936,National League,League,Boston Bees,71,83,0.461038961038961,.461
1937,National League,League,Chicago Cubs,93,61,0.6038961038961039,.604
1937,National League,League,Pittsburgh Pirates,86,68,0.5584415584415584,.558
1937,National League,League,Boston Bees,79,73,0.5197368421052632,.520
1937,National League,League,Cincinnati Reds,56,98,0.36363636363636365,.364
1938,National League,League,Chicago Cubs,89,63,0.5855263157894737,.586
1938,National League,League,Pittsburgh Pirates,86,64,0.5733333333333334,.573
1938,National League,League,Cincinnati Reds,82,68,0.5466666666666666,.547
1938,National League,League,Boston Bees,77,75,0.506578947368421,.507
1939,National League,League,Cincinnati Reds,97,57,0.6298701298701299,.630
1939,National League,League,Chicago Cubs,84,70,0.5454545454545454,.545
1939,National League,League,Pittsburgh Pirates,68,85,0.4444444444444444,28½
1939,National League,League,Boston Bees,63,88,0.41721854304635764,32½
1940,National League,League,Cincinnati Reds,100,53,0.6535947712418301,.654
1940,National League,League,Pittsburgh Pirates,78,76,0.5064935064935064,22½
1940,National League,League,Chicago Cubs,75,79,0.487012987012987,25½
1940,National League,League,Boston Bees,65,87,0.4276315789473684,34½
1941,National League,League,Cincinnati Reds,88,66,0.5714285714285714,.571
1941,National League,League,Pittsburgh Pirates,81,73,0.525974025974026,.526
1941,National League,League,Chicago Cubs,70,84,0.45454545454545453,.455
1941,National League,League,Boston Braves,62,92,0.4025974025974026,.403
1942,National League,League,Cincinnati Reds,76,76,0.5,.500
1942,National League,League,Pittsburgh Pirates,66,81,0.4489795918367347,36½
1942,National League,League,Chicago Cubs,68,86,0.44155844155844154,.442
