year,league,division,team,wins,losses,winning_percentage,games_back
2007,National League,Central,Chicago Cubs,85,77,0.5246913580246914,"$99,670,332"
2007,National League,Central,Houston Astros,73,89,0.4506172839506173,"$87,759,000"
2007,National League,Central,Cincinnati Reds,72,90,0.4444444444444444,"$68,904,980"
2007,National League,Central,Pittsburgh Pirates,68,94,0.41975308641975306,"$38,537,833"
2007,National League,West,Arizona Diamondbacks,90,72,0.5555555555555556,"$52,067,546"
2007,National League,West,San Diego Padres,89,74,0.5460122699386503,"$58,110,567"
2007,National League,West,San Francisco Giants,71,91,0.4382716049382716,"$90,219,056"
