year,league,division,team,wins,losses,winning_percentage,games_back
1998,American League,East,Boston Red Sox,92,70,0.5679012345679012,"$59,547,000"
1998,American League,Central,Detroit Tigers,65,97,0.4012345679012346,"$23,318,980"
1998,American League,West,Texas Rangers,88,74,0.5432098765432098,"$62,755,368"
