year,league,division,team,wins,losses,winning_percentage,games_back
1996,American League,East,Boston Red Sox,85,77,0.5246913580246914,"$38,516,402"
1996,American League,East,Detroit Tigers,53,109,0.3271604938271605,"$17,955,500"
1996,American League,West,Texas Rangers,90,72,0.5555555555555556,"$41,080,028"
