name,url,team,team_url,year,league,statistic,value,stat_type,rank
Anthony Rendon,https://www.baseball-almanac.com/players/player.php?p=rendoan01,Washington Nationals,,2018,National League,Doubles,44,player,1
Max Scherzer,https://www.baseball-almanac.com/players/player.php?p=scherma01,Washington Nationals,,2018,National League,Complete Games,2,pitcher,1
Noah Syndergaard,https://www.baseball-almanac.com/players/player.php?p=syndeno01,New York Mets,,2018,National League,Complete Games,2,pitcher,1
Jameson Taillon,https://www.baseball-almanac.com/players/player.php?p=taillja01,Pittsburgh Pirates,,2018,National League,Complete Games,2,pitcher,1
Michael Foltynewicz,https://www.baseball-almanac.com/players/player.php?p=foltymi01,Atlanta Braves,,2018,National League,Shutouts,1,pitcher,1
Miles Mikolas,https://www.baseball-almanac.com/players/player.php?p=mikolmi01,St. Louis Cardinals,,2018,National League,Shutouts,1,pitcher,1
Max Scherzer,https://www.baseball-almanac.com/players/player.php?p=scherma01,Washington Nationals,,2018,National League,Shutouts,1,pitcher,1
Chris Stratton,https://www.baseball-almanac.com/players/player.php?p=stratch01,San Francisco Giants,,2018,National League,Shutouts,1,pitcher,1
Noah Syndergaard,https://www.baseball-almanac.com/players/player.php?p=syndeno01,New York Mets,,2018,National League,Shutouts,1,pitcher,1
Jameson Taillon,https://www.baseball-almanac.com/players/player.php?p=taillja01,Pittsburgh Pirates,,2018,National League,Shutouts,1,pitcher,1
Trevor Williams,https://www.baseball-almanac.com/players/player.php?p=willitr01,Pittsburgh Pirates,,2018,National League,Shutouts,1,pitcher,1
Miles Mikolas,https://www.baseball-almanac.com/players/player.php?p=mikolmi01,St. Louis Cardinals,,2018,National League,Wins,18,pitcher,1
Max Scherzer,https://www.baseball-almanac.com/players/player.php?p=scherma01,Washington Nationals,,2018,National League,Wins,18,pitcher,1
