year,league,division,team,wins,losses,winning_percentage,games_back
2023,American League,East,Tampa Bay Rays,99,63,0.6111111111111112,.611
2023,American League,East,Boston Red Sox,78,84,0.48148148148148145,.481
2023,American League,Central,Detroit Tigers,78,84,0.48148148148148145,.481
2023,American League,West,Houston Astros,90,72,0.5555555555555556,.556
2023,American League,West,Texas Rangers,90,72,0.5555555555555556,.556
2023,National League,Central,Chicago Cubs,83,79,0.5123456790123457,.512
2023,National League,Central,Cincinnati Reds,82,80,0.5061728395061729,.506
2023,National League,Central,Pittsburgh Pirates,76,86,0.4691358024691358,.469
2023,National League,West,Arizona Diamondbacks,84,78,0.5185185185185185,.519
2023,National League,West,San Diego Padres,82,80,0.5061728395061729,.506
2023,National League,West,San Francisco Giants,79,83,0.4876543209876543,.488
