year,league,division,team,wins,losses,winning_percentage,games_back
2024,American League,East,Boston Red Sox,81,81,0.5,.500
2024,American League,East,Tampa Bay Rays,80,82,0.49382716049382713,.494
2024,American League,Central,Detroit Tigers,86,76,0.5308641975308642,.531
2024,American League,West,Houston Astros,88,73,0.546583850931677,.547
2024,American League,West,Texas Rangers,78,84,0.48148148148148145,.481
2024,National League,Central,Chicago Cubs,83,79,0.5123456790123457,.512
2024,National League,Central,Cincinnati Reds,77,85,0.47530864197530864,.475
2024,National League,Central,Pittsburgh Pirates,76,86,0.4691358024691358,.469
2024,National League,West,San Diego Padres,93,69,0.5740740740740741,.574
2024,National League,West,Arizona Diamondbacks,89,73,0.5493827160493827,.549
2024,National League,West,San Francisco Giants,80,82,0.49382716049382713,.494
