name,url,team,team_url,year,league,statistic,value,stat_type,rank
Joey Gallo,https://www.baseball-almanac.com/players/player.php?p=gallojo01,Texas Rangers,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TEX,2021,American League,Base on Balls,111,player,1
Yuli Gurriel,https://www.baseball-almanac.com/players/player.php?p=gurriyu01,Houston Astros,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=HOA,2021,American League,Batting Average,.319,player,1
Jeimer Candelario,https://www.baseball-almanac.com/players/player.php?p=candeje01,Detroit Tigers,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=DET,2021,American League,Doubles,42,player,1
Bo Bichette,https://www.baseball-almanac.com/players/player.php?p=bichebo01,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Hits,191,player,1
Vladimir Guerrero Jr.,https://www.baseball-almanac.com/players/player.php?p=guerrvl02,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Home Runs,48,player,1
Vladimir Guerrero Jr.,https://www.baseball-almanac.com/players/player.php?p=guerrvl02,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,On Base Percentage,.401,player,1
Salvador Perez,https://www.baseball-almanac.com/players/player.php?p=perezsa02,Kansas City Royals,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=KCA,2021,American League,RBI,121,player,1
Vladimir Guerrero Jr.,https://www.baseball-almanac.com/players/player.php?p=guerrvl02,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Runs,123,player,1
Vladimir Guerrero Jr.,https://www.baseball-almanac.com/players/player.php?p=guerrvl02,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Slugging Average,.601,player,1
Whit Merrifield,https://www.baseball-almanac.com/players/player.php?p=merriwh01,Kansas City Royals,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=KCA,2021,American League,Stolen Bases,40,player,1
Vladimir Guerrero Jr.,https://www.baseball-almanac.com/players/player.php?p=guerrvl02,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Total Bases,363,player,1
Shohei Ohtani,https://www.baseball-almanac.com/players/player.php?p=ohtansh01,Los Angeles Angels,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=ANG,2021,American League,Triples,8,player,1
Gerrit Cole,https://www.baseball-almanac.com/players/player.php?p=colege01,New York Yankees,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=NYA,2021,American League,Complete Games,2,pitcher,1
Robbie Ray,https://www.baseball-almanac.com/players/player.php?p=rayro01,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,ERA,2.84,pitcher,1
Bryan Shaw,https://www.baseball-almanac.com/players/player.php?p=shawbr01,Cleveland Indians,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=CLE,2021,American League,Games,81,pitcher,1
Liam Hendriks,https://www.baseball-almanac.com/players/player.php?p=hendrli01,Chicago White Sox,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=CHA,2021,American League,Saves,38,pitcher,1
Sean Manaea,https://www.baseball-almanac.com/players/player.php?p=manaese01,Oakland Athletics,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=OAK,2021,American League,Shutouts,2,pitcher,1
Robbie Ray,https://www.baseball-almanac.com/players/player.php?p=rayro01,Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2021&t=TOR,2021,American League,Strikeouts,248,pitcher,1
