year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1963,National League,League,Los Angeles Dodgers,99,63,0.611,.611,0,
1963,National League,League,St. Louis Cardinals,93,69,0.574,.574,0,
1963,National League,League,San Francisco Giants,88,74,0.543,.543,0,
1963,National League,League,Philadelphia Phillies,87,75,0.537,.537,0,
1963,National League,League,Cincinnati Reds,86,76,0.531,.531,0,
1963,National League,League,Milwaukee Braves,84,78,0.519,.519,0,
1963,National League,League,Chicago Cubs,82,80,0.506,.506,0,
1963,National League,League,Pittsburgh Pirates,74,88,0.457,.457,0,
1963,National League,League,Houston Colt .45s,66,96,0.407,.407,0,
1963,National League,League,New York Mets,51,111,0.315,.315,0,
