year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1972,National League,East,Pittsburgh Pirates,96,59,0.619,.619,0,
1972,National League,East,Chicago Cubs,85,70,0.548,.548,0,
1972,National League,East,New York Mets,83,73,0.532,.532,0,
1972,National League,East,St. Louis Cardinals,75,81,0.481,.481,0,
1972,National League,East,Montreal Expos,70,86,0.449,.449,0,
1972,National League,East,Philadelphia Phillies,59,97,0.378,.378,0,
1972,National League,West,Cincinnati Reds,95,59,0.617,.617,0,
1972,National League,West,Houston Astros,84,69,0.549,.549,0,
1972,National League,West,Los Angeles Dodgers,85,70,0.548,.548,0,
1972,National League,West,Atlanta Braves,70,84,0.455,.455,0,
1972,National League,West,San Francisco Giants,69,86,0.445,.445,0,
1972,National League,West,San Diego Padres,58,95,0.379,.379,0,
