year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1885,National League,League,Chicago White Stockings,87,25,0.777,.777,0,
1885,National League,League,New York Giants,85,27,0.759,.759,0,
1885,National League,League,Philadelphia Phillies,56,54,0.509,.509,0,
1885,National League,League,Providence Grays,53,57,0.482,.482,0,
1885,National League,League,Boston Beaneaters,46,66,0.411,.411,0,
1885,National League,League,Detroit Wolverines,41,67,0.38,.380,0,
1885,National League,League,Buffalo Bisons,38,74,0.339,.339,0,
1885,National League,League,St. Louis Maroons,36,72,0.333,.333,0,
