year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1981,National League,East,St. Louis Cardinals,59,43,0.578,43,0,
1981,National League,East,Montreal Expos,60,48,0.556,48,0,
1981,National League,East,Philadelphia Phillies,59,48,0.551,48,0,
1981,National League,East,Pittsburgh Pirates,46,56,0.451,56,0,
1981,National League,East,New York Mets,41,62,0.398,62,0,
1981,National League,East,Chicago Cubs,38,65,0.369,65,0,
1981,National League,West,Cincinnati Reds,66,42,0.611,42,0,
1981,National League,West,Los Angeles Dodgers,63,47,0.573,47,0,
1981,National League,West,Houston Astros,61,49,0.555,49,0,
1981,National League,West,San Francisco Giants,56,55,0.505,55,0,
1981,National League,West,Atlanta Braves,50,56,0.472,56,0,
1981,National League,West,San Diego Padres,41,69,0.373,69,0,
