year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1901,American League,League,Chicago White Sox,83,53,0.61,.610,0,
1901,American League,League,Boston Americans,79,57,0.581,.581,0,
1901,American League,League,Detroit Tigers,74,61,0.548,.548,0,
1901,American League,League,Philadelphia Athletics,74,62,0.544,.544,0,
1901,American League,League,Baltimore Orioles,68,65,0.511,.511,0,
1901,American League,League,Washington Senators,61,72,0.459,.459,0,
1901,American League,League,Cleveland Blues,54,82,0.397,.397,0,
1901,American League,League,Milwaukee Brewers,48,89,0.35,.350,0,
