year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1991,National League,East,Pittsburgh Pirates,98,64,0.605,.605,0,
1991,National League,East,St. Louis Cardinals,84,78,0.519,.519,0,
1991,National League,East,Philadelphia Phillies,78,84,0.481,.481,0,
1991,National League,East,Chicago Cubs,77,83,0.481,.481,0,
1991,National League,East,New York Mets,77,84,0.478,.478,0,
1991,National League,East,Montreal Expos,71,90,0.441,.441,0,
1991,National League,West,Atlanta Braves,94,68,0.58,.580,0,
1991,National League,West,Los Angeles Dodgers,93,69,0.574,.574,0,
1991,National League,West,San Diego Padres,84,78,0.519,.519,0,
1991,National League,West,San Francisco Giants,75,87,0.463,.463,0,
1991,National League,West,Cincinnati Reds,74,88,0.457,.457,0,
1991,National League,West,Houston Astros,65,97,0.401,.401,0,
