year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2007,National League,East,Philadelphia Phillies,89,73,0.549,0,0,
2007,National League,East,New York Mets,88,74,0.543,0,0,
2007,National League,East,Atlanta Braves,84,78,0.519,0,0,
2007,National League,East,Washington Nationals,73,89,0.451,0,0,
2007,National League,East,Florida Marlins,71,91,0.438,0,0,
2007,National League,Central,Chicago Cubs,85,77,0.525,0,0,
2007,National League,Central,Milwaukee Brewers,83,79,0.512,0,0,
2007,National League,Central,St. Louis Cardinals,78,84,0.481,0,0,
2007,National League,Central,Houston Astros,73,89,0.451,0,0,
2007,National League,Central,Cincinnati Reds,72,90,0.444,0,0,
2007,National League,Central,Pittsburgh Pirates,68,94,0.42,0,0,
2007,National League,West,Arizona Diamondbacks,90,72,0.556,0,0,
2007,National League,West,Colorado Rockies,90,73,0.552,0,0,
2007,National League,West,San Diego Padres,89,74,0.546,0,0,
2007,National League,West,Los Angeles Dodgers,82,80,0.506,0,0,
2007,National League,West,San Francisco Giants,71,91,0.438,0,0,
