year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2005,American League,East,New York Yankees,95,67,0.586,0,0,
2005,American League,East,Boston Red Sox,95,67,0.586,0,0,
2005,American League,East,Toronto Blue Jays,80,82,0.494,0,0,
2005,American League,East,Baltimore Orioles,74,88,0.457,0,0,
2005,American League,East,Tampa Bay Devil Rays,67,95,0.414,0,0,
2005,American League,Central,Chicago White Sox,99,63,0.611,0,0,
2005,American League,Central,Cleveland Indians,93,69,0.574,0,0,
2005,American League,Central,Minnesota Twins,83,79,0.512,0,0,
2005,American League,Central,Detroit Tigers,71,91,0.438,0,0,
2005,American League,Central,Kansas City Royals,56,106,0.346,0,0,
2005,American League,West,Los Angeles Angels of Anaheim,95,67,0.586,0,0,
2005,American League,West,Oakland Athletics,88,74,0.543,0,0,
2005,American League,West,Texas Rangers,79,83,0.488,0,0,
2005,American League,West,Seattle Mariners,69,93,0.426,0,0,
