year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2022,National League,East,Atlanta Braves,101,61,0.623,0,0,
2022,National League,East,New York Mets,101,61,0.623,0,0,
2022,National League,East,Philadelphia Phillies,87,75,0.537,0,0,
2022,National League,East,Miami Marlins,69,93,0.426,0,0,
2022,National League,East,Washington Nationals,55,107,0.34,0,0,
2022,National League,Central,St. Louis Cardinals,93,69,0.574,0,0,
2022,National League,Central,Milwaukee Brewers,86,76,0.531,0,0,
2022,National League,Central,Chicago Cubs,74,88,0.457,0,0,
2022,National League,Central,Cincinnati Reds,62,100,0.383,0,0,
2022,National League,Central,Pittsburgh Pirates,62,100,0.383,0,0,
2022,National League,West,Los Angeles Dodgers,111,51,0.685,0,0,
2022,National League,West,San Diego Padres,89,73,0.549,0,0,
2022,National League,West,San Francisco Giants,81,81,0.5,0,0,
2022,National League,West,Arizona Diamondbacks,74,88,0.457,0,0,
2022,National League,West,Colorado Rockies,68,94,0.42,0,0,
