year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2014,American League,East,Baltimore Orioles,96,66,0.593,0,0,
2014,American League,East,New York Yankees,84,78,0.518,0,0,
2014,American League,East,Toronto Blue Jays,83,79,0.512,0,0,
2014,American League,East,Tampa Bay Rays,77,85,0.475,0,0,
2014,American League,East,Boston Red Sox,71,91,0.438,0,0,
2014,American League,Central,Detroit Tigers,90,72,0.556,0,0,
2014,American League,Central,Kansas City Royals,89,73,0.549,0,0,
2014,American League,Central,Cleveland Indians,85,77,0.525,0,0,
2014,American League,Central,Chicago White Sox,73,89,0.451,0,0,
2014,American League,Central,Minnesota Twins,70,92,0.432,0,0,
2014,American League,West,Los Angeles Angels,98,64,0.605,0,0,
2014,American League,West,Oakland Athletics,88,74,0.543,0,0,
2014,American League,West,Seattle Mariners,87,75,0.537,0,0,
2014,American League,West,Houston Astros,70,92,0.432,0,0,
2014,American League,West,Texas Rangers,67,95,0.414,0,0,
