year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1906,American League,League,Chicago White Sox,93,58,0.616,.616,0,
1906,American League,League,New York Highlanders,90,61,0.596,.596,0,
1906,American League,League,Cleveland Naps,89,64,0.582,.582,0,
1906,American League,League,Philadelphia Athletics,78,67,0.538,.538,0,
1906,American League,League,St. Louis Browns,76,73,0.51,.510,0,
1906,American League,League,Detroit Tigers,71,78,0.477,.477,0,
1906,American League,League,Washington Senators,55,95,0.367,.367,0,
1906,American League,League,Boston Americans,49,105,0.318,.318,0,
