year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1985,American League,East,Toronto Blue Jays,99,62,0.615,.615,0,
1985,American League,East,New York Yankees,97,64,0.602,.602,0,
1985,American League,East,Detroit Tigers,84,77,0.522,.522,0,
1985,American League,East,Baltimore Orioles,83,78,0.516,.516,0,
1985,American League,East,Boston Red Sox,81,81,0.5,.500,0,
1985,American League,East,Milwaukee Brewers,71,90,0.441,.441,0,
1985,American League,East,Cleveland Indians,60,102,0.37,.370,0,
1985,American League,West,Kansas City Royals,91,71,0.562,.562,0,
1985,American League,West,California Angels,90,72,0.556,.556,0,
1985,American League,West,Chicago White Sox,85,77,0.525,.525,0,
1985,American League,West,Minnesota Twins,77,85,0.475,.475,0,
1985,American League,West,Oakland Athletics,77,85,0.475,.475,0,
1985,American League,West,Seattle Mariners,74,88,0.457,.457,0,
1985,American League,West,Texas Rangers,62,99,0.385,.385,0,
