year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2012,National League,East,Washington Nationals,98,64,0.605,0,0,
2012,National League,East,Atlanta Braves,94,68,0.58,0,0,
2012,National League,East,Philadelphia Phillies,81,81,0.5,0,0,
2012,National League,East,New York Mets,74,88,0.457,0,0,
2012,National League,East,Miami Marlins,69,93,0.426,0,0,
2012,National League,Central,Cincinnati Reds,97,65,0.599,0,0,
2012,National League,Central,St. Louis Cardinals,88,74,0.543,0,0,
2012,National League,Central,Milwaukee Brewers,83,79,0.512,0,0,
2012,National League,Central,Pittsburgh Pirates,79,83,0.488,0,0,
2012,National League,Central,Chicago Cubs,61,101,0.377,0,0,
2012,National League,Central,Houston Astros,55,107,0.34,0,0,
2012,National League,West,San Francisco Giants,94,68,0.58,0,0,
2012,National League,West,Los Angeles Dodgers,86,76,0.531,0,0,
2012,National League,West,Arizona Diamondbacks,81,81,0.5,0,0,
2012,National League,West,San Diego Padres,76,86,0.469,0,0,
2012,National League,West,Colorado Rockies,64,98,0.395,0,0,
