year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1897,National League,League,Boston Beaneaters,93,39,0.705,3,0,
1897,National League,League,Baltimore Orioles,90,40,0.692,6,0,
1897,National League,League,New York Giants,83,48,0.634,7,0,
1897,National League,League,Cincinnati Reds,76,56,0.576,2,0,
1897,National League,League,Cleveland Spiders,69,62,0.527,1,0,
1897,National League,League,Washington Senators,61,71,0.462,4,0,
1897,National League,League,Brooklyn Bridegrooms,61,71,0.462,3,0,
1897,National League,League,Pittsburgh Pirates,60,71,0.458,4,0,
1897,National League,League,Chicago Colts,59,73,0.447,6,0,
1897,National League,League,Philadelphia Phillies,55,77,0.417,2,0,
1897,National League,League,Louisville Colonels,52,78,0.4,6,0,
1897,National League,League,St. Louis Browns,29,102,0.221,2,0,
