year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1978,American League,East,New York Yankees,100,63,0.613,.613,0,
1978,American League,East,Boston Red Sox,99,64,0.607,.607,0,
1978,American League,East,Milwaukee Brewers,93,69,0.574,.574,0,
1978,American League,East,Baltimore Orioles,90,71,0.559,.559,0,
1978,American League,East,Detroit Tigers,86,76,0.531,.531,0,
1978,American League,East,Cleveland Indians,69,90,0.434,.434,0,
1978,American League,East,Toronto Blue Jays,59,102,0.366,.366,0,
1978,American League,West,Kansas City Royals,92,70,0.568,.568,0,
1978,American League,West,Texas Rangers,87,75,0.537,.537,0,
1978,American League,West,California Angels,87,75,0.537,.537,0,
1978,American League,West,Minnesota Twins,73,89,0.451,.451,0,
1978,American League,West,Chicago White Sox,71,90,0.441,.441,0,
1978,American League,West,Oakland Athletics,69,93,0.426,.426,0,
1978,American League,West,Seattle Mariners,56,104,0.35,.350,0,
