year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1990,National League,East,Pittsburgh Pirates,95,67,0.586,.586,0,
1990,National League,East,New York Mets,91,71,0.562,.562,0,
1990,National League,East,Montreal Expos,85,77,0.525,.525,0,
1990,National League,East,Philadelphia Phillies,77,85,0.475,.475,0,
1990,National League,East,Chicago Cubs,77,85,0.475,.475,0,
1990,National League,East,St. Louis Cardinals,70,92,0.432,.432,0,
1990,National League,West,Cincinnati Reds,91,71,0.562,.562,0,
1990,National League,West,Los Angeles Dodgers,86,76,0.531,.531,0,
1990,National League,West,San Francisco Giants,85,77,0.525,.525,0,
1990,National League,West,San Diego Padres,75,87,0.463,.463,0,
1990,National League,West,Houston Astros,75,87,0.463,.463,0,
1990,National League,West,Atlanta Braves,65,97,0.401,.401,0,
