year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1981,American League,East,Milwaukee Brewers,62,47,0.569,47,0,
1981,American League,East,Baltimore Orioles,59,46,0.562,46,0,
1981,American League,East,New York Yankees,59,48,0.551,48,0,
1981,American League,East,Detroit Tigers,60,49,0.55,49,0,
1981,American League,East,Boston Red Sox,59,49,0.546,49,0,
1981,American League,East,Cleveland Indians,52,51,0.505,51,0,
1981,American League,East,Toronto Blue Jays,37,69,0.349,69,0,
1981,American League,West,Oakland Athletics,64,45,0.587,45,0,
1981,American League,West,Texas Rangers,57,48,0.543,48,0,
1981,American League,West,Chicago White Sox,54,52,0.509,52,0,
1981,American League,West,Kansas City Royals,50,53,0.485,53,0,
1981,American League,West,California Angels,51,59,0.464,59,0,
1981,American League,West,Seattle Mariners,44,65,0.404,65,0,
1981,American League,West,Minnesota Twins,41,68,0.376,68,0,
