year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2009,National League,East,Philadelphia Phillies,93,69,0.574,0,0,
2009,National League,East,Florida Marlins,87,75,0.537,0,0,
2009,National League,East,Atlanta Braves,86,76,0.531,0,0,
2009,National League,East,New York Mets,70,92,0.432,0,0,
2009,National League,East,Washington Nationals,59,103,0.364,0,0,
2009,National League,Central,St. Louis Cardinals,91,71,0.562,0,0,
2009,National League,Central,Chicago Cubs,83,78,0.516,0,0,
2009,National League,Central,Milwaukee Brewers,80,82,0.494,0,0,
2009,National League,Central,Cincinnati Reds,78,84,0.481,0,0,
2009,National League,Central,Houston Astros,74,88,0.457,0,0,
2009,National League,Central,Pittsburgh Pirates,62,99,0.385,0,0,
2009,National League,West,Los Angeles Dodgers,95,67,0.586,0,0,
2009,National League,West,Colorado Rockies,92,70,0.568,0,0,
2009,National League,West,San Francisco Giants,88,74,0.543,0,0,
2009,National League,West,San Diego Padres,75,87,0.463,0,0,
2009,National League,West,Arizona Diamondbacks,70,92,0.432,0,0,
