year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1967,American League,League,Boston Red Sox,92,70,0.568,.568,0,
1967,American League,League,Minnesota Twins,91,71,0.562,.562,0,
1967,American League,League,Detroit Tigers,91,71,0.562,.562,0,
1967,American League,League,Chicago White Sox,89,73,0.549,.549,0,
1967,American League,League,California Angels,84,77,0.522,.522,0,
1967,American League,League,Washington Senators,76,85,0.472,.472,0,
1967,American League,League,Baltimore Orioles,76,85,0.472,.472,0,
1967,American League,League,Cleveland Indians,75,87,0.463,.463,0,
1967,American League,League,New York Yankees,72,90,0.444,.444,0,
1967,American League,League,Kansas City Athletics,62,99,0.385,.385,0,
