year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2000,National League,East,Atlanta Braves,95,67,0.586,.586,0,
2000,National League,East,New York Mets,94,68,0.58,.580,0,
2000,National League,East,Florida Marlins,79,82,0.491,.491,0,
2000,National League,East,Montreal Expos,67,95,0.414,.414,0,
2000,National League,East,Philadelphia Phillies,65,97,0.401,.401,0,
2000,National League,Central,St. Louis Cardinals,95,67,0.586,.586,0,
2000,National League,Central,Cincinnati Reds,85,77,0.525,.525,0,
2000,National League,Central,Milwaukee Brewers,73,89,0.451,.451,0,
2000,National League,Central,Houston Astros,72,90,0.444,.444,0,
2000,National League,Central,Pittsburgh Pirates,69,93,0.426,.426,0,
2000,National League,Central,Chicago Cubs,65,97,0.401,.401,0,
2000,National League,West,San Francisco Giants,97,65,0.599,.599,0,
2000,National League,West,Los Angeles Dodgers,86,76,0.531,.531,0,
2000,National League,West,Arizona Diamondbacks,85,77,0.525,.525,0,
2000,National League,West,Colorado Rockies,82,80,0.506,.506,0,
2000,National League,West,San Diego Padres,76,86,0.469,.469,0,
