year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2006,American League,East,New York Yankees,97,65,0.599,0,0,
2006,American League,East,Toronto Blue Jays,87,75,0.537,0,0,
2006,American League,East,Boston Red Sox,86,76,0.531,0,0,
2006,American League,East,Baltimore Orioles,70,92,0.432,0,0,
2006,American League,East,Tampa Bay Devil Rays,61,101,0.377,0,0,
2006,American League,Central,Minnesota Twins,96,66,0.593,0,0,
2006,American League,Central,Detroit Tigers,95,67,0.586,0,0,
2006,American League,Central,Chicago White Sox,90,72,0.556,0,0,
2006,American League,Central,Cleveland Indians,78,84,0.481,0,0,
2006,American League,Central,Kansas City Royals,62,100,0.383,0,0,
2006,American League,West,Oakland Athletics,93,69,0.574,0,0,
2006,American League,West,Los Angeles Angels,89,73,0.549,0,0,
2006,American League,West,Texas Rangers,80,82,0.494,0,0,
2006,American League,West,Seattle Mariners,78,84,0.481,0,0,
