year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1969,National League,East,New York Mets,100,62,0.617,.617,0,
1969,National League,East,Chicago Cubs,92,70,0.568,.568,0,
1969,National League,East,Pittsburgh Pirates,88,74,0.543,.543,0,
1969,National League,East,St. Louis Cardinals,87,75,0.537,.537,0,
1969,National League,East,Philadelphia Phillies,63,99,0.389,.389,0,
1969,National League,East,Montreal Expos,52,110,0.321,.321,0,
1969,National League,West,Atlanta Braves,93,69,0.574,.574,0,
1969,National League,West,San Francisco Giants,90,72,0.556,.556,0,
1969,National League,West,Cincinnati Reds,89,73,0.549,.549,0,
1969,National League,West,Los Angeles Dodgers,85,77,0.525,.525,0,
1969,National League,West,Houston Astros,81,81,0.5,.500,0,
1969,National League,West,San Diego Padres,52,110,0.321,.321,0,
