year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2000,American League,East,New York Yankees,87,74,0.54,.540,0,
2000,American League,East,Boston Red Sox,85,77,0.525,.525,0,
2000,American League,East,Toronto Blue Jays,83,79,0.512,.512,0,
2000,American League,East,Baltimore Orioles,74,88,0.457,.457,0,
2000,American League,East,Tampa Bay Devil Rays,69,92,0.429,.429,0,
2000,American League,Central,Chicago White Sox,95,67,0.586,.586,0,
2000,American League,Central,Cleveland Indians,90,72,0.556,.556,0,
2000,American League,Central,Detroit Tigers,79,83,0.488,.488,0,
2000,American League,Central,Kansas City Royals,77,85,0.475,.475,0,
2000,American League,Central,Minnesota Twins,69,93,0.426,.426,0,
2000,American League,West,Oakland Athletics,91,70,0.565,.565,0,
2000,American League,West,Seattle Mariners,91,71,0.562,.562,0,
2000,American League,West,Anaheim Angels,82,80,0.506,.506,0,
2000,American League,West,Texas Rangers,71,91,0.438,.438,0,
