year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1965,American League,League,Minnesota Twins,102,60,0.63,.630,0,
1965,American League,League,Chicago White Sox,95,67,0.586,.586,0,
1965,American League,League,Baltimore Orioles,94,68,0.58,.580,0,
1965,American League,League,Detroit Tigers,89,73,0.549,.549,0,
1965,American League,League,Cleveland Indians,87,75,0.537,.537,0,
1965,American League,League,New York Yankees,77,85,0.475,.475,0,
1965,American League,League,California Angels,75,87,0.463,.463,0,
1965,American League,League,Washington Senators,70,92,0.432,.432,0,
1965,American League,League,Boston Red Sox,62,100,0.383,.383,0,
1965,American League,League,Kansas City Athletics,59,103,0.364,.364,0,
