year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2019,American League,East,New York Yankees,103,59,0.636,0,0,
2019,American League,East,Tampa Bay Rays,96,66,0.593,0,0,
2019,American League,East,Boston Red Sox,84,78,0.519,0,0,
2019,American League,East,Toronto Blue Jays,67,95,0.414,0,0,
2019,American League,East,Baltimore Orioles,54,108,0.333,0,0,
2019,American League,Central,Minnesota Twins,101,61,0.623,0,0,
2019,American League,Central,Cleveland Indians,93,69,0.574,0,0,
2019,American League,Central,Chicago White Sox,72,89,0.447,0,0,
2019,American League,Central,Kansas City Royals,59,103,0.364,0,0,
2019,American League,Central,Detroit Tigers,47,114,0.292,0,0,
2019,American League,West,Houston Astros,107,55,0.66,0,0,
2019,American League,West,Oakland Athletics,97,65,0.599,0,0,
2019,American League,West,Texas Rangers,78,84,0.481,0,0,
2019,American League,West,Los Angeles Angels,72,90,0.444,0,0,
2019,American League,West,Seattle Mariners,68,94,0.42,0,0,
