year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2010,National League,East,Philadelphia Phillies,97,65,0.599,0,0,
2010,National League,East,Atlanta Braves,91,71,0.562,0,0,
2010,National League,East,Florida Marlins,80,82,0.494,0,0,
2010,National League,East,New York Mets,79,83,0.488,0,0,
2010,National League,East,Washington Nationals,69,93,0.426,0,0,
2010,National League,Central,Cincinnati Reds,91,71,0.562,0,0,
2010,National League,Central,St. Louis Cardinals,86,76,0.531,0,0,
2010,National League,Central,Milwaukee Brewers,77,85,0.475,0,0,
2010,National League,Central,Houston Astros,76,86,0.469,0,0,
2010,National League,Central,Chicago Cubs,75,87,0.463,0,0,
2010,National League,Central,Pittsburgh Pirates,57,105,0.352,0,0,
2010,National League,West,San Francisco Giants,92,70,0.568,0,0,
2010,National League,West,San Diego Padres,90,72,0.556,0,0,
2010,National League,West,Colorado Rockies,83,79,0.512,0,0,
2010,National League,West,Los Angeles Dodgers,80,82,0.494,0,0,
2010,National League,West,Arizona Diamondbacks,65,97,0.401,0,0,
