year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1948,National League,League,Boston Braves,91,62,0.595,.595,0,
1948,National League,League,St. Louis Cardinals,85,69,0.552,.552,0,
1948,National League,League,Brooklyn Dodgers,84,70,0.545,.545,0,
1948,National League,League,Pittsburgh Pirates,83,71,0.539,.539,0,
1948,National League,League,New York Giants,78,76,0.506,.506,0,
1948,National League,League,Philadelphia Phillies,66,88,0.429,.429,0,
1948,National League,League,Cincinnati Reds,64,89,0.418,.418,0,
1948,National League,League,Chicago Cubs,64,90,0.416,.416,0,
