year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1974,National League,East,Pittsburgh Pirates,88,74,0.543,.543,0,
1974,National League,East,St. Louis Cardinals,86,75,0.534,.534,0,
1974,National League,East,Philadelphia Phillies,80,82,0.491,.491,0,
1974,National League,East,Montreal Expos,79,82,0.491,.491,0,
1974,National League,East,New York Mets,71,91,0.438,.438,0,
1974,National League,East,Chicago Cubs,66,96,0.407,.407,0,
1974,National League,West,Los Angeles Dodgers,102,60,0.63,.630,0,
1974,National League,West,Cincinnati Reds,98,64,0.605,.605,0,
1974,National League,West,Atlanta Braves,88,74,0.543,.543,0,
1974,National League,West,Houston Astros,81,81,0.5,.500,0,
1974,National League,West,San Francisco Giants,72,90,0.444,.444,0,
1974,National League,West,San Diego Padres,60,102,0.37,.370,0,
