year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1989,National League,East,Chicago Cubs,93,69,0.574,.574,0,
1989,National League,East,New York Mets,87,75,0.537,.537,0,
1989,National League,East,St. Louis Cardinals,86,76,0.531,.531,0,
1989,National League,East,Montreal Expos,81,81,0.5,.500,0,
1989,National League,East,Pittsburgh Pirates,74,88,0.457,.457,0,
1989,National League,East,Philadelphia Phillies,67,95,0.414,.414,0,
1989,National League,West,San Francisco Giants,92,70,0.568,.568,0,
1989,National League,West,San Diego Padres,89,73,0.549,.549,0,
1989,National League,West,Houston Astros,86,76,0.531,.531,0,
1989,National League,West,Los Angeles Dodgers,77,83,0.481,.481,0,
1989,National League,West,Cincinnati Reds,75,87,0.463,.463,0,
1989,National League,West,Atlanta Braves,63,97,0.394,.394,0,
