year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2014,National League,East,Washington Nationals,96,66,0.593,0,0,
2014,National League,East,Atlanta Braves,79,83,0.488,0,0,
2014,National League,East,New York Mets,79,83,0.488,0,0,
2014,National League,East,Miami Marlins,77,85,0.475,0,0,
2014,National League,East,Philadelphia Phillies,73,89,0.451,0,0,
2014,National League,Central,St. Louis Cardinals,90,72,0.556,0,0,
2014,National League,Central,Pittsburgh Pirates,88,74,0.543,0,0,
2014,National League,Central,Milwaukee Brewers,82,80,0.506,0,0,
2014,National League,Central,Cincinnati Reds,76,86,0.469,0,0,
2014,National League,Central,Chicago Cubs,73,89,0.451,0,0,
2014,National League,West,Los Angeles Dodgers,94,68,0.58,0,0,
2014,National League,West,San Francisco Giants,88,74,0.543,0,0,
2014,National League,West,San Diego Padres,77,85,0.475,0,0,
2014,National League,West,Colorado Rockies,66,96,0.407,0,0,
2014,National League,West,Arizona Diamondbacks,64,98,0.395,0,0,
