year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1987,American League,East,Detroit Tigers,98,64,0.605,.605,0,
1987,American League,East,Toronto Blue Jays,96,66,0.593,.593,0,
1987,American League,East,Milwaukee Brewers,91,71,0.562,.562,0,
1987,American League,East,New York Yankees,89,73,0.549,.549,0,
1987,American League,East,Boston Red Sox,78,84,0.481,.481,0,
1987,American League,East,Baltimore Orioles,67,95,0.414,.414,0,
1987,American League,East,Cleveland Indians,61,101,0.377,.377,0,
1987,American League,West,Minnesota Twins,85,77,0.525,.525,0,
1987,American League,West,Kansas City Royals,83,79,0.512,.512,0,
1987,American League,West,Oakland Athletics,81,81,0.5,.500,0,
1987,American League,West,Seattle Mariners,78,84,0.481,.481,0,
1987,American League,West,Chicago White Sox,77,85,0.475,.475,0,
1987,American League,West,Texas Rangers,75,87,0.463,.463,0,
1987,American League,West,California Angels,75,87,0.463,.463,0,
