year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1963,American League,League,New York Yankees,104,57,0.646,.646,0,
1963,American League,League,Chicago White Sox,94,68,0.58,.580,0,
1963,American League,League,Minnesota Twins,91,70,0.565,.565,0,
1963,American League,League,Baltimore Orioles,86,76,0.531,.531,0,
1963,American League,League,Detroit Tigers,79,83,0.488,.488,0,
1963,American League,League,Cleveland Indians,79,83,0.488,.488,0,
1963,American League,League,Boston Red Sox,76,85,0.472,.472,0,
1963,American League,League,Kansas City Athletics,73,89,0.451,.451,0,
1963,American League,League,Los Angeles Angels,70,91,0.435,.435,0,
1963,American League,League,Washington Senators,56,106,0.346,.346,0,
