year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1977,American League,East,New York Yankees,100,62,0.613,.613,0,
1977,American League,East,Baltimore Orioles,97,64,0.602,.602,0,
1977,American League,East,Boston Red Sox,97,64,0.602,.602,0,
1977,American League,East,Detroit Tigers,74,88,0.457,.457,0,
1977,American League,East,Cleveland Indians,71,90,0.441,.441,0,
1977,American League,East,Milwaukee Brewers,67,95,0.414,.414,0,
1977,American League,East,Toronto Blue Jays,54,107,0.335,.335,0,
1977,American League,West,Kansas City Royals,102,60,0.63,.630,0,
1977,American League,West,Texas Rangers,94,68,0.58,.580,0,
1977,American League,West,Chicago White Sox,90,72,0.556,.556,0,
1977,American League,West,Minnesota Twins,84,77,0.522,.522,0,
1977,American League,West,California Angels,74,88,0.457,.457,0,
1977,American League,West,Seattle Mariners,64,98,0.395,.395,0,
1977,American League,West,Oakland Athletics,63,98,0.391,.391,0,
