year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1980,American League,East,New York Yankees,103,59,0.636,.636,0,
1980,American League,East,Baltimore Orioles,100,62,0.617,.617,0,
1980,American League,East,Milwaukee Brewers,86,76,0.531,.531,0,
1980,American League,East,Boston Red Sox,83,77,0.519,.519,0,
1980,American League,East,Detroit Tigers,84,78,0.519,.519,0,
1980,American League,East,Cleveland Indians,79,81,0.494,.494,0,
1980,American League,East,Toronto Blue Jays,67,95,0.414,.414,0,
1980,American League,West,Kansas City Royals,97,65,0.599,.599,0,
1980,American League,West,Oakland Athletics,83,79,0.512,.512,0,
1980,American League,West,Minnesota Twins,77,84,0.478,.478,0,
1980,American League,West,Texas Rangers,76,85,0.472,.472,0,
1980,American League,West,Chicago White Sox,70,90,0.438,.438,0,
1980,American League,West,California Angels,65,95,0.406,.406,0,
1980,American League,West,Seattle Mariners,59,103,0.364,.364,0,
