year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1970,American League,East,Baltimore Orioles,108,54,0.667,.667,0,
1970,American League,East,New York Yankees,93,69,0.574,.574,0,
1970,American League,East,Boston Red Sox,87,75,0.537,.537,0,
1970,American League,East,Detroit Tigers,79,83,0.488,.488,0,
1970,American League,East,Cleveland Indians,76,86,0.469,.469,0,
1970,American League,East,Washington Senators,70,92,0.432,.432,0,
1970,American League,West,Minnesota Twins,98,64,0.605,.605,0,
1970,American League,West,Oakland Athletics,89,73,0.549,.549,0,
1970,American League,West,California Angels,86,76,0.531,.531,0,
1970,American League,West,Milwaukee Brewers,65,97,0.401,.401,0,
1970,American League,West,Kansas City Royals,65,97,0.401,.401,0,
1970,American League,West,Chicago White Sox,56,106,0.346,.346,0,
