year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2004,American League,East,New York Yankees,101,61,0.623,0,0,
2004,American League,East,Boston Red Sox,98,64,0.605,0,0,
2004,American League,East,Baltimore Orioles,78,84,0.481,0,0,
2004,American League,East,Tampa Bay Devil Rays,70,91,0.435,0,0,
2004,American League,East,Toronto Blue Jays,67,94,0.416,0,0,
2004,American League,Central,Minnesota Twins,92,70,0.568,0,0,
2004,American League,Central,Chicago White Sox,83,79,0.512,0,0,
2004,American League,Central,Cleveland Indians,80,82,0.494,0,0,
2004,American League,Central,Detroit Tigers,72,90,0.444,0,0,
2004,American League,Central,Kansas City Royals,58,104,0.358,0,0,
2004,American League,West,Anaheim Angels,92,70,0.568,0,0,
2004,American League,West,Oakland Athletics,91,71,0.562,0,0,
2004,American League,West,Texas Rangers,89,73,0.549,0,0,
2004,American League,West,Seattle Mariners,63,99,0.389,0,0,
