year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1988,National League,East,New York Mets,100,60,0.625,.625,0,
1988,National League,East,Pittsburgh Pirates,85,75,0.531,.531,0,
1988,National League,East,Montreal Expos,81,81,0.5,.500,0,
1988,National League,East,Chicago Cubs,77,86,0.475,.475,0,
1988,National League,East,St. Louis Cardinals,76,86,0.469,.469,0,
1988,National League,East,Philadelphia Phillies,65,96,0.404,.404,0,
1988,National League,West,Los Angeles Dodgers,94,67,0.584,.584,0,
1988,National League,West,Cincinnati Reds,87,74,0.54,.540,0,
1988,National League,West,San Diego Padres,83,78,0.516,.516,0,
1988,National League,West,San Francisco Giants,83,79,0.512,.512,0,
1988,National League,West,Houston Astros,82,80,0.506,.506,0,
1988,National League,West,Atlanta Braves,54,106,0.338,.338,0,
