year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1975,American League,East,Boston Red Sox,95,65,0.594,.594,0,
1975,American League,East,Baltimore Orioles,90,69,0.566,.566,0,
1975,American League,East,New York Yankees,83,77,0.519,.519,0,
1975,American League,East,Cleveland Indians,79,80,0.497,.497,0,
1975,American League,East,Milwaukee Brewers,68,94,0.42,.420,0,
1975,American League,East,Detroit Tigers,57,102,0.358,.358,0,
1975,American League,West,Oakland Athletics,98,64,0.605,.605,0,
1975,American League,West,Kansas City Royals,91,71,0.562,.562,0,
1975,American League,West,Texas Rangers,79,83,0.488,.488,0,
1975,American League,West,Minnesota Twins,76,83,0.478,.478,0,
1975,American League,West,Chicago White Sox,75,86,0.466,.466,0,
1975,American League,West,California Angels,72,89,0.447,.447,0,
