year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1996,American League,East,New York Yankees,92,70,0.568,.568,0,
1996,American League,East,Baltimore Orioles,88,74,0.543,.543,0,
1996,American League,East,Boston Red Sox,85,77,0.525,.525,0,
1996,American League,East,Toronto Blue Jays,74,88,0.457,.457,0,
1996,American League,East,Detroit Tigers,53,109,0.327,.327,0,
1996,American League,Central,Cleveland Indians,99,62,0.615,.615,0,
1996,American League,Central,Chicago White Sox,85,77,0.525,.525,0,
1996,American League,Central,Milwaukee Brewers,80,82,0.494,.494,0,
1996,American League,Central,Minnesota Twins,78,84,0.484,.484,0,
1996,American League,Central,Kansas City Royals,75,86,0.466,.466,0,
1996,American League,West,Texas Rangers,90,72,0.556,.556,0,
1996,American League,West,Seattle Mariners,85,76,0.528,.528,0,
1996,American League,West,Oakland Athletics,78,84,0.481,.481,0,
1996,American League,West,California Angels,70,91,0.435,.435,0,
