year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2001,American League,East,New York Yankees,95,65,0.594,.594,0,
2001,American League,East,Boston Red Sox,82,79,0.509,.509,0,
2001,American League,East,Toronto Blue Jays,80,82,0.494,.494,0,
2001,American League,East,Baltimore Orioles,63,98,0.391,.391,0,
2001,American League,East,Tampa Bay Devil Rays,62,100,0.383,.383,0,
2001,American League,Central,Cleveland Indians,91,71,0.562,.562,0,
2001,American League,Central,Minnesota Twins,85,77,0.525,.525,0,
2001,American League,Central,Chicago White Sox,83,79,0.512,.512,0,
2001,American League,Central,Detroit Tigers,66,96,0.407,.407,0,
2001,American League,Central,Kansas City Royals,65,97,0.401,.401,0,
2001,American League,West,Seattle Mariners,116,46,0.716,.716,0,
2001,American League,West,Oakland Athletics,102,60,0.63,.630,0,
2001,American League,West,Anaheim Angels,75,87,0.463,.463,0,
2001,American League,West,Texas Rangers,73,89,0.451,.451,0,
