year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
2012,American League,East,New York Yankees,95,67,0.586,0,0,
2012,American League,East,Baltimore Orioles,93,69,0.574,0,0,
2012,American League,East,Tampa Bay Rays,90,72,0.556,0,0,
2012,American League,East,Toronto Blue Jays,73,89,0.451,0,0,
2012,American League,East,Boston Red Sox,69,93,0.426,0,0,
2012,American League,Central,Detroit Tigers,88,74,0.543,0,0,
2012,American League,Central,Chicago White Sox,85,77,0.525,0,0,
2012,American League,Central,Kansas City Royals,72,90,0.444,0,0,
2012,American League,Central,Cleveland Indians,68,94,0.42,0,0,
2012,American League,Central,Minnesota Twins,66,96,0.407,0,0,
2012,American League,West,Oakland Athletics,94,68,0.58,0,0,
2012,American League,West,Texas Rangers,93,69,0.574,0,0,
2012,American League,West,Los Angeles Angels,89,73,0.549,0,0,
2012,American League,West,Seattle Mariners,75,87,0.463,0,0,
