year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1992,American League,East,Toronto Blue Jays,96,66,0.593,.593,0,
1992,American League,East,Milwaukee Brewers,92,70,0.568,.568,0,
1992,American League,East,Baltimore Orioles,89,73,0.549,.549,0,
1992,American League,East,New York Yankees,76,86,0.469,.469,0,
1992,American League,East,Cleveland indians,76,86,0.469,.469,0,
1992,American League,East,Detroit Tigers,75,87,0.463,.463,0,
1992,American League,East,Boston Red Sox,73,89,0.451,.451,0,
1992,American League,West,Oakland Athletics,96,66,0.593,.593,0,
1992,American League,West,Minnesota Twins,90,72,0.556,.556,0,
1992,American League,West,Chicago White Sox,86,76,0.531,.531,0,
1992,American League,West,Texas Rangers,77,85,0.475,.475,0,
1992,American League,West,Kansas City Royals,72,90,0.444,.444,0,
1992,American League,West,California Angels,72,90,0.444,.444,0,
1992,American League,West,Seattle Mariners,64,98,0.395,.395,0,
