year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll
1919,National League,League,Cincinnati Reds,96,44,0.686,.686,0,
1919,National League,League,New York Giants,87,53,0.621,.621,0,
1919,National League,League,Chicago Cubs,75,65,0.536,.536,0,
1919,National League,League,Pittsburgh Pirates,71,68,0.511,.511,0,
1919,National League,League,Brooklyn Robins,69,71,0.493,.493,0,
1919,National League,League,Boston Braves,57,82,0.41,.410,0,
1919,National League,League,St. Louis Cardinals,54,83,0.394,.394,0,
1919,National League,League,Philadelphia Phillies,47,90,0.343,.343,0,
