year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1991,American League,East,Detroit Tigers,84,78,519.0,7,,,American League 1901-2001
1991,American League,East,Boston Red Sox,84,78,519.0,7,,,American League 1901-2001
1991,American League,West,Texas Rangers,85,77,525.0,10,,,American League 1901-2001
