year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1902,National League,League,Pittsburgh Pirates,103,36,741.0,0,,,National League 1876-2004
1902,National League,League,Boston Beaneaters,73,64,533.0,29,,,National League 1876-2004
1902,National League,League,Cincinnati Reds,70,70,500.0,33½,,,National League 1876-2004
1902,National League,League,Chicago Cubs,68,69,496.0,34,,,National League 1876-2004
