year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1903,American League,League,Boston Americans,91,47,659.0,0,,,American League 1901-2001
1903,American League,League,Detroit Tigers,65,71,478.0,25,,,American League 1901-2001
