year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1925,American League,League,Detroit Tigers,81,73,526.0,16½,,,American League 1901-2001
1925,American League,League,Boston Red Sox,47,105,309.0,49½,,,American League 1901-2001
