year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1902,American League,League,Boston Americans,77,60,562.0,6½,,,American League 1901-2001
1902,American League,League,Detroit Tigers,52,83,385.0,30½,,,American League 1901-2001
