year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1880,National League,League,Providence Grays,52,32,619.0,15,,,National League 1876-2004
1880,National League,League,Troy Trojans,41,42,494.0,25½,,,National League 1876-2004
1880,National League,League,Boston Red Caps,40,44,476.0,27,,,National League 1876-2004
1880,National League,League,Cincinnati Reds,21,59,263.0,44,,,National League 1876-2004
