year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
2000,American League,East,Boston Red Sox,85,77,525.0,2½,,,American League 1901-2001
2000,American League,Central,Detroit Tigers,79,83,488.0,16,,,American League 1901-2001
2000,American League,West,Texas Rangers,71,91,438.0,20½,,,American League 1901-2001
