year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1885,National League,League,Providence Grays,53,57,482.0,33,,,National League 1876-2004
1885,National League,League,Boston Beaneaters,46,66,411.0,41,,,National League 1876-2004
