year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1948,American League,League,Boston Red Sox,96,59,619.0,1,,,American League 1901-2001
1948,American League,League,Detroit Tigers,78,76,506.0,18½,,,American League 1901-2001
