year,league,division,team,wins,losses,winning_percentage,games_back,ties,payroll,pattern_used
1972,National League,East,Pittsburgh Pirates,96,59,619.0,0,,,National League 1876-2004
1972,National League,East,Chicago Cubs,85,70,548.0,11,,,National League 1876-2004
1972,National League,West,Cincinnati Reds,95,59,617.0,0,,,National League 1876-2004
1972,National League,West,Houston Astros,84,69,549.0,10½,,,National League 1876-2004
1972,National League,West,San Francisco Giants,69,86,445.0,26½,,,National League 1876-2004
1972,National League,West,San Diego Padres,58,95,379.0,36½,,,National League 1876-2004
